stage,stage_index,global_step,episode,n_agents,width,height,n_targets,n_obstacles,pheromone_enabled,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,swarm_efficiency
stage1a_single_agent_tiny,1,9940,98,1,100,100,2,0,False,26.345706939697266,1.0,1.0,1.0,0.4,0.0,0,120,65,66,1,0.008333333333333333
stage1a_single_agent_tiny,1,9959,99,1,100,100,2,0,False,14.427824020385742,2.0,2.0,0.0,0.16,0.0,0,19,9,-1,-1,0.0
stage1a_single_agent_tiny,1,10079,100,1,100,100,2,0,False,-9.647961616516113,1.0,1.0,0.0,0.4,0.0,0,120,110,-1,-1,0.0
stage1a_single_agent_tiny,1,10199,101,1,100,100,2,0,False,-11.84777545928955,0.0,0.0,0.0,0.28,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,10319,102,1,100,100,2,0,False,-8.1176176071167,1.0,1.0,0.0,0.44,0.0,0,120,11,-1,-1,0.0
stage1a_single_agent_tiny,1,10365,103,1,100,100,2,0,False,8.109835624694824,2.0,2.0,0.0,0.28,0.0,0,46,2,-1,-1,0.0
stage1a_single_agent_tiny,1,10485,104,1,100,100,2,0,False,19.169029235839844,1.0,1.0,1.0,0.4,0.0,0,120,28,28,0,0.008333333333333333
stage1a_single_agent_tiny,1,10537,105,1,100,100,2,0,False,12.560328483581543,2.0,2.0,0.0,0.4,0.0,0,52,43,-1,-1,0.0
stage1a_single_agent_tiny,1,10657,106,1,100,100,2,0,False,0.4969346821308136,1.0,1.0,0.0,0.28,0.0,0,120,38,-1,-1,0.0
stage1a_single_agent_tiny,1,10777,107,1,100,100,2,0,False,-6.400915622711182,1.0,1.0,0.0,0.52,0.0,0,120,13,-1,-1,0.0
stage1a_single_agent_tiny,1,10894,108,1,100,100,2,0,False,34.452510833740234,2.0,2.0,1.0,0.4,0.0,0,117,43,117,74,0.008547008547008548
stage1a_single_agent_tiny,1,11014,109,1,100,100,2,0,False,-22.51917839050293,0.0,0.0,0.0,0.2,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,11081,110,1,100,100,2,0,False,13.913026809692383,2.0,2.0,0.0,0.24,0.0,0,67,51,-1,-1,0.0
stage1a_single_agent_tiny,1,11186,111,1,100,100,2,0,False,40.54706573486328,2.0,2.0,1.0,0.32,0.0,0,105,18,105,87,0.009523809523809525
stage1a_single_agent_tiny,1,11306,112,1,100,100,2,0,False,-10.066018104553223,0.0,0.0,0.0,0.4,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,11356,113,1,100,100,2,0,False,7.882907390594482,2.0,2.0,0.0,0.28,0.0,0,50,8,-1,-1,0.0
stage1a_single_agent_tiny,1,11394,114,1,100,100,2,0,False,14.179570198059082,2.0,2.0,0.0,0.2,0.0,0,38,33,-1,-1,0.0
stage1a_single_agent_tiny,1,11486,115,1,100,100,2,0,False,38.98723220825195,2.0,2.0,1.0,0.4,0.0,0,92,62,62,0,0.010869565217391304
stage1a_single_agent_tiny,1,11541,116,1,100,100,2,0,False,12.580923080444336,2.0,2.0,0.0,0.36,0.0,0,55,43,-1,-1,0.0
stage1a_single_agent_tiny,1,11661,117,1,100,100,2,0,False,5.3587470054626465,1.0,1.0,0.0,0.32,0.0,0,120,11,-1,-1,0.0
stage1a_single_agent_tiny,1,11781,118,1,100,100,2,0,False,-7.053114891052246,0.0,0.0,0.0,0.24,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,11901,119,1,100,100,2,0,False,-16.005104064941406,0.0,0.0,0.0,0.36,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,12021,120,1,100,100,2,0,False,-7.940873146057129,1.0,1.0,0.0,0.44,0.0,0,120,3,-1,-1,0.0
stage1a_single_agent_tiny,1,12136,121,1,100,100,2,0,False,-15.051746368408203,2.0,2.0,0.0,0.28,0.0,0,115,10,-1,-1,0.0
stage1a_single_agent_tiny,1,12180,122,1,100,100,2,0,False,5.135577201843262,2.0,2.0,0.0,0.24,0.0,0,44,11,-1,-1,0.0
stage1a_single_agent_tiny,1,12300,123,1,100,100,2,0,False,-4.6097025871276855,1.0,1.0,0.0,0.52,0.0,0,120,2,-1,-1,0.0
stage1a_single_agent_tiny,1,12353,124,1,100,100,2,0,False,7.998556613922119,2.0,2.0,0.0,0.32,0.0,0,53,30,-1,-1,0.0
stage1a_single_agent_tiny,1,12473,125,1,100,100,2,0,False,-5.172667503356934,1.0,1.0,0.0,0.32,0.0,0,120,30,-1,-1,0.0
stage1a_single_agent_tiny,1,12508,126,1,100,100,2,0,False,6.816289901733398,2.0,2.0,0.0,0.08,0.0,0,35,33,-1,-1,0.0
stage1a_single_agent_tiny,1,12586,127,1,100,100,2,0,False,9.319316864013672,2.0,2.0,0.0,0.28,0.0,0,78,47,-1,-1,0.0
stage1a_single_agent_tiny,1,12706,128,1,100,100,2,0,False,-8.32327651977539,1.0,1.0,0.0,0.36,0.0,0,120,3,-1,-1,0.0
stage1a_single_agent_tiny,1,12826,129,1,100,100,2,0,False,-1.9910037517547607,1.0,1.0,0.0,0.4,0.0,0,120,113,-1,-1,0.0
stage1a_single_agent_tiny,1,12946,130,1,100,100,2,0,False,-9.247379302978516,1.0,1.0,0.0,0.4,0.0,0,120,32,-1,-1,0.0
stage1a_single_agent_tiny,1,13066,131,1,100,100,2,0,False,-11.485708236694336,0.0,0.0,0.0,0.36,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,13186,132,1,100,100,2,0,False,2.733797073364258,1.0,1.0,0.0,0.4,0.0,0,120,79,-1,-1,0.0
stage1a_single_agent_tiny,1,13246,133,1,100,100,2,0,False,12.593589782714844,2.0,2.0,0.0,0.32,0.0,0,60,43,-1,-1,0.0
stage1a_single_agent_tiny,1,13284,134,1,100,100,2,0,False,42.7248649597168,2.0,2.0,1.0,0.28,0.0,0,38,6,6,0,0.02631578947368421
stage1a_single_agent_tiny,1,13384,135,1,100,100,2,0,False,0.009243469685316086,2.0,2.0,0.0,0.36,0.0,0,100,43,-1,-1,0.0
stage1a_single_agent_tiny,1,13504,136,1,100,100,2,0,False,1.382446527481079,2.0,2.0,0.0,0.36,0.0,0,120,36,-1,-1,0.0
stage1a_single_agent_tiny,1,13624,137,1,100,100,2,0,False,-8.462987899780273,0.0,0.0,0.0,0.36,0.0,0,120,-1,-1,-1,0.0
