stage,stage_index,global_step,episode,n_agents,width,height,n_targets,n_obstacles,pheromone_enabled,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,low_displacement_fraction,crowding_fraction,stuck_event_count,successful_escape_count,mean_stuck_duration,max_collision_streak,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,swarm_efficiency
stage1a_single_agent_tiny,1,11760,98,1,100,100,2,0,True,11.11376953125,3.0,3.0,0.0,0.56,0.4127860001225296,66,0.55,0.0,2,0,8.0,1,120,49,-1,-1,0.0
stage1a_single_agent_tiny,1,11880,99,1,100,100,2,0,True,-9.28897762298584,1.0,1.0,0.0,0.44,0.43530283166716494,71,0.5833333333333334,0.0,2,0,8.5,1,120,100,-1,-1,0.0
stage1a_single_agent_tiny,1,12000,100,1,100,100,2,0,True,-3.6259400844573975,1.0,1.0,0.0,0.24,0.5263605155594026,65,0.6833333333333333,0.0,0,0,0.0,1,120,2,-1,-1,0.0
stage1a_single_agent_tiny,1,12120,101,1,100,100,2,0,True,8.915502548217773,2.0,2.0,0.0,0.4,0.4689578775355282,54,0.6416666666666667,0.0,2,0,7.0,1,120,15,-1,-1,0.0
stage1a_single_agent_tiny,1,12240,102,1,100,100,2,0,True,3.4172768592834473,3.0,3.0,0.0,0.48,0.37307817159065354,47,0.4666666666666667,0.0,1,0,9.0,1,120,29,-1,-1,0.0
stage1a_single_agent_tiny,1,12360,103,1,100,100,2,0,True,25.579225540161133,5.0,5.0,0.0,0.48,0.3610796952464928,49,0.4583333333333333,0.0,0,0,0.0,1,120,19,-1,-1,0.0
stage1a_single_agent_tiny,1,12480,104,1,100,100,2,0,True,26.676912307739258,1.0,1.0,1.0,0.44,0.4790945565444417,69,0.5833333333333334,0.0,0,0,0.0,1,120,52,52,0,0.008333333333333333
stage1a_single_agent_tiny,1,12600,105,1,100,100,2,0,True,3.017890214920044,2.0,2.0,0.0,0.4,0.42569298941331607,59,0.575,0.0,2,0,8.0,1,120,85,-1,-1,0.0
stage1a_single_agent_tiny,1,12720,106,1,100,100,2,0,True,1.3216335773468018,2.0,2.0,0.0,0.32,0.5167081905878149,63,0.625,0.0,3,0,7.0,1,120,2,-1,-1,0.0
stage1a_single_agent_tiny,1,12840,107,1,100,100,2,0,True,12.430821418762207,3.0,3.0,0.0,0.56,0.3990149238185647,64,0.5666666666666667,0.0,1,0,7.0,1,120,24,-1,-1,0.0
stage1a_single_agent_tiny,1,12960,108,1,100,100,2,0,True,-15.697651863098145,0.0,0.0,0.0,0.48,0.4190531875782957,78,0.5,0.0,1,0,7.0,1,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,13080,109,1,100,100,2,0,True,14.182456016540527,4.0,4.0,0.0,0.4,0.5116123587087107,71,0.55,0.0,2,0,7.0,1,120,25,-1,-1,0.0
stage1a_single_agent_tiny,1,13200,110,1,100,100,2,0,True,14.571919441223145,4.0,4.0,0.0,0.48,0.34306993452773893,56,0.4583333333333333,0.0,0,0,0.0,1,120,75,-1,-1,0.0
stage1a_single_agent_tiny,1,13320,111,1,100,100,2,0,True,21.1085262298584,2.0,2.0,1.0,0.52,0.3526094009168446,62,0.38333333333333336,0.0,1,0,7.0,1,120,72,72,0,0.008333333333333333
stage1a_single_agent_tiny,1,13440,112,1,100,100,2,0,True,14.874429702758789,4.0,4.0,0.0,0.52,0.3028489792641873,68,0.375,0.0,1,0,7.0,1,120,2,-1,-1,0.0
stage1a_single_agent_tiny,1,13560,113,1,100,100,2,0,True,22.347087860107422,5.0,5.0,0.0,0.44,0.3408522925921716,73,0.4666666666666667,0.0,1,0,7.0,1,120,17,-1,-1,0.0
stage1a_single_agent_tiny,1,13680,114,1,100,100,2,0,True,38.262882232666016,7.0,7.0,0.0,0.36,0.3374293007655069,63,0.45,0.0,0,0,0.0,1,120,7,-1,-1,0.0
