stage,stage_index,stage_attempt,global_step,episode,n_agents,width,height,n_targets,n_obstacles,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,food_source_respawns,food_units_remaining,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,delivery_conversion,swarm_efficiency
stage1a_single_agent_miniscule,1,1,7875,96,1,50,50,1,0,-4.574978828430176,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,7961,97,1,50,50,1,0,190.0185546875,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,86,83,83,0,1.0,0.046511627906976744
stage1a_single_agent_miniscule,1,1,7991,98,1,50,50,1,0,191.56829833984375,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,30,27,27,0,1.0,0.13333333333333333
stage1a_single_agent_miniscule,1,1,8111,99,1,50,50,1,0,-3.0499634742736816,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,8231,100,1,50,50,1,0,-3.313460111618042,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,8269,101,1,50,50,1,0,190.65765380859375,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,38,35,35,0,1.0,0.10526315789473684
stage1a_single_agent_miniscule,1,1,8389,102,1,50,50,1,0,92.81265258789062,2.0,2.0,2.0,0.4444444444444444,0.0,0,0,2,120,112,112,0,1.0,0.016666666666666666
stage1a_single_agent_miniscule,1,1,8419,103,1,50,50,1,0,190.77230834960938,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,30,27,27,0,1.0,0.13333333333333333
stage1a_single_agent_miniscule,1,1,8488,104,1,50,50,1,0,189.04742431640625,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,69,66,66,0,1.0,0.057971014492753624
stage1a_single_agent_miniscule,1,1,8608,105,1,50,50,1,0,138.77268981933594,3.0,3.0,3.0,0.4444444444444444,0.0,0,0,1,120,92,92,0,1.0,0.025
stage1a_single_agent_miniscule,1,1,8646,106,1,50,50,1,0,190.4165496826172,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,38,35,35,0,1.0,0.10526315789473684
stage1a_single_agent_miniscule,1,1,8742,107,1,50,50,1,0,189.66653442382812,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,96,93,93,0,1.0,0.041666666666666664
stage1a_single_agent_miniscule,1,1,8799,108,1,50,50,1,0,190.49264526367188,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,57,51,51,0,1.0,0.07017543859649122
stage1a_single_agent_miniscule,1,1,8875,109,1,50,50,1,0,190.05227661132812,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,76,73,73,0,1.0,0.05263157894736842
stage1a_single_agent_miniscule,1,1,8995,110,1,50,50,1,0,-3.7359533309936523,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,9115,111,1,50,50,1,0,-3.027003765106201,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,9183,112,1,50,50,1,0,189.58544921875,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,68,65,65,0,1.0,0.058823529411764705
stage1a_single_agent_miniscule,1,1,9187,113,1,50,50,1,0,191.46200561523438,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0,1.0
stage1a_single_agent_miniscule,1,1,9307,114,1,50,50,1,0,-3.772944688796997,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
